 "GUID","COLLECTION","CAT_NUM","DEACCESSIONED","TOPTYPESTATUS","SCI_NAME_WITH_AUTH_PLAIN","SPEC_LOCALITY","COLLECTORS","BEGAN_DATE","ENDED_DATE","COUNTRY","STATE_PROV","WATERBODY","VERBATIM_DATE","OTHERCATALOGNUMBERS"
"MCZ:Ich:153648","Ichthyology","153648","","","Thunnus thynnus (Linnaeus, 1758)","Cape Cod, Provincetown","Frank G. Carey","1967-08-01","1967-08-31","","","Atlantic, Northwest","0/8/1967-0/8/1967","field number=CAPECOD1967:08; group number=733"
"MCZ:Ich:153673","Ichthyology","153673","","","Raja erinacea Mitchill, 1825","Waquoit","[no agent data]","1700-01-01","1998-03-01","","","Atlantic, Northwest","[no verbatim date data]","field number=WANQOIT; group number=38"
"MCZ:Ich:153674","Ichthyology","153674","","","Raja sp.","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=38"
"MCZ:Ich:153683","Ichthyology","153683","","Voucher","Acipenser sp.","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=59"
"MCZ:Ich:153730","Ichthyology","153730","","","Brevoortia tyrannus (Latrobe, 1802)","Boston","[no agent data]","1700-01-01","1998-03-01","United States","Massachusetts","Atlantic, Northwest","[no verbatim date data]","field number=BOSTON; group number=110"
"MCZ:Ich:153739","Ichthyology","153739","","","Salmo sp.","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=129"
"MCZ:Ich:153752","Ichthyology","153752","","","Salvelinus namaycush (Walbaum, 1792)","Buffalo, Lake Erie","C. M. Warren","1700-01-01","1998-03-01","United States","New York","","[no verbatim date data]","field number=CMW:BUFFALO; group number=129"
"MCZ:Ich:153758","Ichthyology","153758","","","Esox sp.","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=145"
"MCZ:Ich:153769","Ichthyology","153769","","","Umbra limi","Lake Champlain","[no agent data]","1852-01-01","1852-12-31","United States","New York/Vermont","","1852-1852","field number=LCHAMPLAIN:1852; group number=146"
"MCZ:Ich:153771","Ichthyology","153771","","","Coregonus sp.","Lake Superior","Louis Agassiz","1848-01-01","1848-12-31","Canada/United States","","","1848-1848","field number=LA:SUPERIOR; group number=129"
"MCZ:Ich:153786","Ichthyology","153786","","","Erythrinus unitaeniatus Spix and Agassiz, 1829","PORTO DE MOZ; PORTO DO MOZ [Rio Xingu at Porto de Mós]","[no agent data]","1700-01-01","1998-03-01","Brazil","Para","","[no verbatim date data]","field number=PORTO DE MOZ; group number=206"
"MCZ:Ich:153907","Ichthyology","153907","","","Carpiodes sp.","[no specific locality data]","[no agent data]","1700-01-01","2004-03-01","United States","Arkansas","","[no verbatim date data]","field number=ARKANSAS; group number=235"
"MCZ:Ich:153909","Ichthyology","153909","","","Hypentelium nigricans (Le Sueur, 1817)","Cow Pasture River, station 24","[no agent data]","1700-01-01","1998-03-01","United States","Virginia","","[no verbatim date data]","field number=COW PASTURE-24; group number=235"
"MCZ:Ich:153912","Ichthyology","153912","","","Ictiobus sp.","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=235"
"MCZ:Ich:153914","Ichthyology","153914","","","Catostomus sp.","[no specific locality data]","[no agent data]","1800-01-01","1899-12-31","United States","New York","","[no verbatim date data]","field number=NEW YORK; group number=235"
"MCZ:Ich:153945","Ichthyology","153945","","","Bagrus bayad (Forsskål, 1775)","Kaiso beach, Lake Albert","Roger C. Wood","1700-01-01","1998-03-01","Uganda","","","[no verbatim date data]","field number=RW:KAISO; group number=247"
"MCZ:Ich:153947","Ichthyology","153947","","","Clarias sp.","Kaiso beach, Lake Albert","Roger C. Wood","1700-01-01","1998-03-01","Uganda","","","[no verbatim date data]","field number=RW:KAISO; group number=256"
"MCZ:Ich:153949","Ichthyology","153949","","","Lithodoras dorsalis (Valenciennes, 1840)","Para [Belem and environs]","Thayer Expedition to Brazil, Louis Agassiz","1865-08-10","1865-08-18","Brazil","Para","","10/8/1865-18/8/1865","field number=THAYER079; group number=263"
"MCZ:Ich:162612","Ichthyology","162612","","","Alopias vulpinus (Bonaterre, 1788)","Vinal Haven","[no agent data]","1700-01-01","2003-03-01","","","Atlantic, Northwest","[no verbatim date data]","field number=VINAL_HAVEN1909; group number=21"
"MCZ:Ich:153967","Ichthyology","153967","","","Porichthys notatus Girard, 1854","San Francisco","Alexander Agassiz","1700-01-01","2005-03-01","United States","California","Pacific, Eastern Central","[no verbatim date data]","field number=AA:SANFRAN; group number=289"
"MCZ:Ich:153968","Ichthyology","153968","","","Porichthys notatus Girard, 1854","San Francisco","Alexander Agassiz","1700-01-01","2005-03-01","United States","California","Pacific, Eastern Central","[no verbatim date data]","field number=AA:SANFRAN; group number=289"
"MCZ:Ich:153979","Ichthyology","153979","","","Gadus morhua Linnaeus, 1758","Boston","[no agent data]","1700-01-01","1998-03-01","United States","Massachusetts","Atlantic, Northwest","[no verbatim date data]","field number=BOSTON; group number=319"
"MCZ:Ich:153986","Ichthyology","153986","","","Gadus morhua Linnaeus, 1758","Boston","[no agent data]","1700-01-01","1998-03-01","United States","Massachusetts","Atlantic, Northwest","[no verbatim date data]","field number=BOSTON; group number=319"
"MCZ:Ich:153994","Ichthyology","153994","","","Melanogrammus aeglefinus (Linnaeus, 1758)","Boston","[no agent data]","1700-01-01","1998-03-01","United States","Massachusetts","Atlantic, Northwest","[no verbatim date data]","field number=BOSTON; group number=319"
"MCZ:Ich:154004","Ichthyology","154004","","","Gadus callarias Linnaeus, 1758","[no specific locality data]","[no agent data]","1700-01-01","2001-03-01","","","","[no verbatim date data]","field number=WHOI; group number=319"
"MCZ:Ich:154020","Ichthyology","154020","","","Zoarces americanus (Bloch and Schneider, 1801)","Boston","[no agent data]","1700-01-01","1998-03-01","United States","Massachusetts","Atlantic, Northwest","[no verbatim date data]","field number=BOSTON; group number=330"
"MCZ:Ich:154023","Ichthyology","154023","","","Zoarces americanus (Bloch and Schneider, 1801)","Nahant, Massachusetts Bay","Frederic W. Putnam","1856-01-01","1856-12-31","United States","Massachusetts","Gulf of Maine","1856-1856","field number=FWP:NAHANT1856; group number=330"
"MCZ:Ich:154026","Ichthyology","154026","","","Zoarces americanus (Bloch and Schneider, 1801)","Nahant, Massachusetts Bay","Louis Agassiz","1700-01-01","2000-03-01","United States","Massachusetts","Gulf of Maine","[no verbatim date data]","field number=LA:NAHANT; group number=330"
"MCZ:Ich:154038","Ichthyology","154038","","","Strongylura sp.","Rio de Janeiro","James C. Fletcher, Louis Agassiz","1700-01-01","1998-03-01","Brazil","Rio de Janeiro","Atlantic, Southwest","[no verbatim date data]","field number=RIO_DE_JANEIRO; group number=336; previous number=803"
"MCZ:Ich:154050","Ichthyology","154050","","","Fundulus macrolepidotus","Charleston","[no agent data]","1700-01-01","1870-12-31","United States","South Carolina","","[no verbatim date data]","field number=CHARLESTON; group number=343"
"MCZ:Ich:154056","Ichthyology","154056","","","Cyprinodon variegatus Lacépède, 1803","Charleston","[no agent data]","1700-01-01","1870-12-31","United States","South Carolina","","[no verbatim date data]","field number=CHARLESTON; group number=343"
"MCZ:Ich:154058","Ichthyology","154058","","","Mollienisia maculata","Charleston","John E. Holbrook","1700-01-01","1998-03-01","United States","South Carolina","","[no verbatim date data]","field number=HOLBROOK:CH; group number=347"
"MCZ:Ich:154061","Ichthyology","154061","","","Orestias jussieu","Lake Titicaca","[no agent data]","1700-01-01","1998-03-01","Peru","Puno","","[no verbatim date data]","field number=LAKETITICACA; group number=343"
"MCZ:Ich:154062","Ichthyology","154062","","","Orestias cuvieri","Lake Titicaca","[no agent data]","1700-01-01","1998-03-01","Peru","Puno","","[no verbatim date data]","field number=LAKETITICACA; group number=343"
"MCZ:Ich:154114","Ichthyology","154114","","","Artedius notospilotus Girard, 1856","[no specific locality data]","[no agent data]","1700-01-01","1998-03-01","United States","California","Pacific, Eastern Central","[no verbatim date data]","field number=CALIFORNIA; group number=445"
"MCZ:Ich:154117","Ichthyology","154117","","","Icelinus filamentosus Gilbert, 1890","Monterey Bay, off Mussel Point","John A. Musick","1963-07-01","1963-07-31","United States","California","Pacific, Eastern Central","0/7/1963-0/7/1963","field number=JAM1963:07; group number=445"
"MCZ:Ich:154122","Ichthyology","154122","","","Hemitripterus americanus","[no specific locality data]","[no agent data]","1849-01-01","1849-12-31","","","","1849-1849","field number=1849; group number=445"
"MCZ:Ich:154125","Ichthyology","154125","","","Hemitripterus sp.","Boston","[no agent data]","1847-01-01","1847-12-31","United States","Massachusetts","","1847-1847","field number=BOSTON1847; group number=445"
"MCZ:Ich:154132","Ichthyology","154132","","","Myoxocephalus scorpius (Linnaeus, 1758)","Nahant, Massachusetts Bay","Frederic W. Putnam","1856-01-01","1856-12-31","United States","Massachusetts","Gulf of Maine","1856-1856","field number=FWP:NAHANT1856; group number=445"
"MCZ:Ich:154145","Ichthyology","154145","","","Cottidae sp.","Grand Manan Island","Addison Emery Verrill","1858-01-01","1859-12-31","Canada","","Atlantic, Northwest","1858-1859","field number=AEV:GRANDMENAN; group number=445"
"MCZ:Ich:154154","Ichthyology","154154","","","Cyclopterus lumpus Linnaeus, 1758","[no specific locality data]","American Museum of Natural History","1700-01-01","1998-03-01","","","","[no verbatim date data]","field number=AMNH:NODATA; group number=456"
"MCZ:Ich:154155","Ichthyology","154155","","","Cyclopterus lumpus Linnaeus, 1758","[no specific locality data]","","1965-01-01","1965-12-31","","","","1965-1965","field number=BIO130-1965:LW; group number=456"
"MCZ:Ich:154158","Ichthyology","154158","","","Dactylopteridae sp.","Rio de Janeiro","[no agent data]","1700-01-01","1999-03-01","Brazil","Rio de Janeiro","Atlantic, Southwest","[no verbatim date data]","field number=RIO DE JANEIRO; group number=461"
"MCZ:Ich:154172","Ichthyology","154172","","","Centropristis striata (Linnaeus, 1758)","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=476"
"MCZ:Ich:154177","Ichthyology","154177","","","Centropristis atrarius","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=476"
"MCZ:Ich:154189","Ichthyology","154189","","","Diplectrum formosum (Linnaeus, 1766)","[no specific locality data]","[no agent data]","1700-01-01","1998-03-01","United States","South Carolina","Atlantic, Western Central","[no verbatim date data]","field number=SOUTH_CAROLINA; group number=476"
"MCZ:Ich:154192","Ichthyology","154192","","","Serranidae sp.","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=476"
"MCZ:Ich:154196","Ichthyology","154196","","","Paranthias furcifer (Valenciennes, 1828)","Rio de Janeiro","[no agent data]","1700-01-01","1999-03-01","Brazil","Rio de Janeiro","Atlantic, Southwest","[no verbatim date data]","field number=RIO DE JANEIRO; group number=476; previous number=7062"
"MCZ:Ich:154199","Ichthyology","154199","","","Morone saxatilis (Walbaum, 1792)","[no specific locality data]","[no agent data]","1700-01-01","2001-03-01","","","","[no verbatim date data]","field number=WHOI; group number=476"
"MCZ:Ich:154204","Ichthyology","154204","","","Morone americana (Gmelin, 1789)","Boston","[no agent data]","1847-01-01","1847-12-31","United States","Massachusetts","","1847-1847","field number=BOSTON1847; group number=476"
"MCZ:Ich:154220","Ichthyology","154220","","","Lepomis gibbosus (Linnaeus, 1758)","Boston","[no agent data]","1700-01-01","1998-03-01","United States","Massachusetts","","[no verbatim date data]","field number=BOSTON; group number=509"
"MCZ:Ich:154246","Ichthyology","154246","","","Stizostedion sp.","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=517"
"MCZ:Ich:154253","Ichthyology","154253","","","Pomatomus saltatrix (Linnaeus, 1766)","[no specific locality data]","[no agent data]","1700-01-01","2001-03-01","","","","[no verbatim date data]","field number=WHOI; group number=527"
"MCZ:Ich:154256","Ichthyology","154256","","","Pomatomus saltatrix (Linnaeus, 1766)","[no specific locality data]","[no agent data]","1700-01-01","2001-03-01","","","","[no verbatim date data]","field number=WHOI; group number=527"
"MCZ:Ich:154258","Ichthyology","154258","","","Pomatomus saltatrix (Linnaeus, 1766)","Cape Cod","Albert Ordway","1859-07-01","1859-07-31","United States","Massachusetts","Atlantic, Northwest","0/7/1859-0/7/1859","field number=ORDWAY:CAPECOD; group number=527"
"MCZ:Ich:154260","Ichthyology","154260","","","Pomatomus saltatrix (Linnaeus, 1766)","Cape Cod","Albert Ordway","1859-07-01","1859-07-31","United States","Massachusetts","Atlantic, Northwest","0/7/1859-0/7/1859","field number=ORDWAY:CAPECOD; group number=527"
"MCZ:Ich:154272","Ichthyology","154272","","","Rachycentron canadum (Linnaeus, 1766)","From a N. Carolina fishing boat that came into New Bedford for repairs","[no agent data]","1964-05-27","1964-05-27","United States","North Carolina","Atlantic, Northwest","27/5/1964","field number=WHOI1964:0527; group number=529"
