 "GUID","COLLECTION","CAT_NUM","DEACCESSIONED","TOPTYPESTATUS","SCI_NAME_WITH_AUTH_PLAIN","SPEC_LOCALITY","COLLECTORS","BEGAN_DATE","ENDED_DATE","COUNTRY","STATE_PROV","WATERBODY","VERBATIM_DATE","OTHERCATALOGNUMBERS"
"MCZ:Ich:157253","Ichthyology","157253","partial","Voucher","Ariosoma balearicum (Delaroche, 1809)","[coordinate data only]","RV Albatross IV","1998-09-25","1998-09-25","United States","","Mid Atlantic Bight, Slope Water","25/9/1998-25/9/1998","NCBI GenBank number=DQ645662; NCBI GenBank number=DQ645701; field number=AL98-11:038; group number=85; other number=KU:KUIT:3503; previous number=F-0309"
"MCZ:Ich:157832","Ichthyology","157832","","","Lophius americanus Valenciennes, 1837","Station 65","RV Delaware II","1999-02-17","1999-02-17","United States","","So. New England","17/2/1999-17/2/1999","field number=DL99-02:065; group number=293"
"MCZ:Ich:149516","Ichthyology","149516","","","Photostomias guernei Collett, 1889","off Azores, Portugal","Charles E. Lea, RV Atlantis II 101","1978-07-06","1978-07-06","Portugal","","Atlantic, Northeast","6/7/1978-6/7/1978","field number=CEL7825; group number=152"
"MCZ:Ich:149687","Ichthyology","149687","","Figured","Selar crumenophthalmus (Bloch, 1793)","Gulf of Mexico, SSE of Dry Tourtugas at 82°40'W","New England Aquarium","1995-06-24","1995-06-24","United States","","Atlantic, Western Central","24/6/1995-24/6/1995","field number=NEA-TUNA:6-25; group number=533"
"MCZ:Ich:149960","Ichthyology","149960","","","Antennarius sp.","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=296"
"MCZ:Ich:163041","Ichthyology","163041","","","Photostomias guernei Collett, 1889","","RV Delaware II 03-04","2003-05-17","2003-05-17","United States","","Slope Water","17/5/2003-17/5/2003","field number=DL03-04:018; group number=152"
"MCZ:Ich:154685","Ichthyology","154685","","","Hypsurus caryi (Agassiz, 1853)","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=599"
"MCZ:Ich:154691","Ichthyology","154691","","","Phanerodon furcatus Girard, 1854","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=599; previous number=S10H49-25"
"MCZ:Ich:154693","Ichthyology","154693","","","Hyperprosopon argenteum Gibbons, 1854","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=599"
"MCZ:Ich:154698","Ichthyology","154698","","","Cymatogaster aggregata Gibbons, 1854","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=599"
"MCZ:Ich:154707","Ichthyology","154707","","","Amphistichus rhodoterus (Agassiz, 1854)","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=599"
"MCZ:Ich:154709","Ichthyology","154709","","","Brachyistius frenatus Gill, 1862","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=599"
"MCZ:Ich:159197","Ichthyology","159197","","","Chaunax pictus Lowe, 1846","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=297"
"MCZ:Ich:150894","Ichthyology","150894","","","Auchenipterus ambyiacus Fowler, 1915","Parana de Janauaca","William L. Fink, and party","1976-12-07","1976-12-07","Brazil","Amazonas","","7/12/1976-7/12/1976","field number=WLF7617; group number=264; previous number=MCZ 52585"
"MCZ:Ich:154985","Ichthyology","154985","","Additional Material","Pseudosphromenus cupanus (Cuvier, 1831)","West Java","Karel F. Liem","1956-01-01","1956-12-31","Indonesia","","","1956","field number=KFL:WJAVA; group number=753"
"MCZ:Ich:163643","Ichthyology","163643","","","Photostomias goodyeari Kenaley & Hartel, 2005","[coordinate data only]","Richard H. Backus, FV Cap'n Bill III","1962-10-12","1962-10-12","United States","","Atlantic, Northwest","12/10/1962-12/10/1962","field number=RHB0910; group number=152; previous number=42394 , 163026"
